,NOMBRE,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
71,Gimnasio del Colegio Maravillas,MADRID,28002,EL VISO,CHAMARTIN,40.44622182664542,-3.6874505523728
72,Grandes Almacenes Madrid-París,MADRID,28004,UNIVERSIDAD,CENTRO,40.42055670033498,-3.703420188792292
73,Hipódromo de la Zarzuela,MADRID,0,,DISTRITO,40.47860017015228,-3.757466901167237
74,Hospital de Jornaleros San Francisco de Paula,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44539205139684,-3.701197422725348
75,Hotel Alfonso XIII,MADRID,0,UNIVERSIDAD,CENTRO,40.42050742476766,-3.704115144651839
76,Hotel Apartamentos Espahotel,MADRID,0,PALACIO,CENTRO,40.42250707487777,-3.710065338350866
77,Hotel Gran Vía,MADRID,0,SOL,CENTRO,40.419762112038654,-3.702233164302461
78,Hotel Menfis,MADRID,0,UNIVERSIDAD,CENTRO,40.42305832746606,-3.7097882216017055
79,Hotel Metropolitano,MADRID,0,SOL,CENTRO,40.41971871599279,-3.701961601139231
80,Hotel Nueva York y cine Actualidades,MADRID,0,UNIVERSIDAD,CENTRO,40.420900008680086,-3.706217444920123
81,Hotel Palace,MADRID,28014,CORTES,CENTRO,40.41548099224374,-3.695773373993609
82,Hotel Roma,MADRID,28004,JUSTICIA,CENTRO,40.41999206746485,-3.699658572621916
83,Hotel Washington,MADRID,0,UNIVERSIDAD,CENTRO,40.42294237533695,-3.709598394250748
84,Hotel y cine Rex,MADRID,28013,PALACIO,CENTRO,40.4206600249067,-3.707157946297817
85,Iglesia de la Concepción Real de Calatrava,MADRID,28014,CORTES,CENTRO,40.41831315896514,-3.699011971823613
86,Iglesia de San Antonio de los Alemanes,MADRID,28004,UNIVERSIDAD,CENTRO,40.42248408139826,-3.703510993080645
87,Iglesia de San Jerónimo el Real,MADRID,28014,LOS JERONIMOS,RETIRO,40.41435651796935,-3.690523026519969
88,Iglesia de San José,MADRID,28014,JUSTICIA,CENTRO,40.41934499059586,-3.696724106180927
89,Iglesia de San Manuel y San Benito,MADRID,28014,RECOLETOS,SALAMANCA,40.42075879654608,-3.68628303682986
90,Iglesia de San Marcos,MADRID,28015,UNIVERSIDAD,CENTRO,40.42476938792869,-3.711144427224213
91,Iglesia de San Pedro el Viejo,MADRID,28005,PALACIO,CENTRO,40.41324464343417,-3.710250837641945
92,Iglesia Parroquial de Santa Ana y Nuestra Señora de la Esperanza,MADRID,28030,VINATEROS,MORATALAZ,40.405427281364965,-3.645004145611472
93,Ilustre Colegio Oficial de Médicos de Madrid,MADRID,28012,EMBAJADORES,CENTRO,40.40926280409965,-3.6953774471568273
94,Instituto Cervantes (antiguo Banco Español del Río de la Plata),MADRID,28014,JUSTICIA,CENTRO,40.41956034622228,-3.6953707711467754
95,Instituto del Patrimonio Cultural de España,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,40.44166668674646,-3.735464796879181
96,La Casa Encendida,MADRID,28012,EMBAJADORES,CENTRO,40.40596221830597,-3.6997720739017033
97,Matadero y Mercado Municipal de Granados,MADRID,28045,CHOPERA,ARGANZUELA,40.39245798191536,-3.6972067902718897
98,Medialab-Prado (antigua Serrería Belga),MADRID,28014,CORTES,CENTRO,40.4105673503608,-3.693781984341337
99,Mercado de San Miguel,MADRID,28005,PALACIO,CENTRO,40.4153602918824,-3.709023692234164
100,"Ministerio de Agricultura, Pesca y Alimentación",MADRID,28014,LOS JERONIMOS,RETIRO,40.40863906624042,-3.690619448970024
101,Monasterio de las Descalzas Reales,MADRID,28013,SOL,CENTRO,40.418631243969415,-3.705969762193341
102,Monasterio de Montserrat,MADRID,28015,UNIVERSIDAD,CENTRO,40.42782496214609,-3.706474495078322
103,Museo Cerralbo,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,40.42377925205143,-3.714599606357376
